iron (III) Phosphite,FePO3
iron (III) Phosphate,FePO4
chromium (III) Acetate,Cr(C2H3O2)3
chromium (III) Chlorate,Cr(ClO3)3
chromium (III) Chlorite,Cr(ClO2)3
chromium (III) Cyanide,Cr(CN)3
chromium (III) Hydroxide,Cr(OH)3
chromium (III) Hypochlorite,Cr(ClO)3
chromium (III) Nitrate,Cr(NO3)3
chromium (III) Nitrite,Cr(NO2)3
chromium (III) Perchlorate,Cr(ClO4)3
chromium (III) Permanganate,Cr(MnO4)3
chromium (III) Carbonate,Cr2(CO3)3
chromium (III) Chromate,Cr2(CrO4)3
chromium (III) Dichromate,Cr2(Cr2O7 )3
chromium (III) Sulfate,Cr2(SO4)3
chromium (III) Sulfite,Cr2(SO3)3
chromium (III) Silicate,Cr2(SiO3)3
chromium (III) Arsenate,CrAsO4
chromium (III) Phosphite,CrPO3
chromium (III) Phosphate,CrPO4
cobalt (III) Acetate,Co(C2H3O2)3
cobalt  (III) Chlorate,Co(ClO3)3
cobalt (III) Chlorite,Co(ClO2)3
cobalt  (III) Cyanide,Co(CN)3
cobalt  (III) Hydroxide,Co(OH)3
cobalt  (III) Hypochlorite,Co(ClO)3
cobalt (III) Nitrate,Co(NO3)3
cobalt  (III) Nitrite,Co(NO2)3
cobalt  (III) Perchlorate,Co(ClO4)3
cobalt  (III) Permanganate,Co(MnO4)3
cobalt  (III) Carbonate,Co2(CO3)3
cobalt  (III) Chromate,Co2(CrO4)3
cobalt  (III) Dichromate,Co2(Cr2O7 )3
cobalt  (III) Sulfate,Co2(SO4)3
cobalt  (III) Sulfite,Co2(SO3)3
cobalt  (III) Silicate,Co2(SiO3)3
cobalt  (III) Arsenate,CoAsO4
cobalt  (III) Phosphite,CoPO3
cobalt  (III) Phosphate,CoPO4
nickel (III) Acetate,Ni(C2H3O2)3
nickel  (III) Chlorate,Ni(ClO3)3
nickel (III) Chlorite,Ni(ClO2)3
nickel (IIv) Cyanide,Ni(CN)3
nickel (III) Hydroxide,Ni(OH)3
nickel (III) Hypochlorite,Ni(ClO)3
nickel (III) Nitrate,Ni(NO3)3
nickel (III) Nitrite,Ni(NO2)3
nickel (III) Perchlorate,Ni(ClO4)3
nickel (III) Permanganate,Ni(MnO4)3
nickel (III) Carbonate,Ni2(CO3)3
nickel (III) Chromate,Ni2(CrO4)3
nickel (III) Dichromate,Ni2(Cr2O7 )3
nickel (III) Sulfate,Ni2(SO4)3
nickel (III) Sulfite,Ni2(SO3)3
nickel (III) Silicate,Ni2(SiO3)3
nickel (III) Arsenate,NiAsO4
nickel (III) Phosphite,NiPO3
nickel (III) Phosphate,NiPO4
